#! FIELDS rmsd file.free der_rmsd
#! SET min_rmsd -0.0320676
#! SET max_rmsd 0.163732
#! SET nbins_rmsd  57
#! SET periodic_rmsd false
   -0.032067600  164.520691291   -0.089857918
   -0.028571179  164.480694317  -40.403187868
   -0.025074757  164.118539366 -184.433479253
   -0.021578336  163.002935112 -492.711682127
   -0.018081914  160.299625060 -1121.446550146
   -0.014585493  154.610337586 -2222.301443286
   -0.011089071  144.159571986 -3835.859957022
   -0.007592650  127.423022213 -5752.783454860
   -0.004096229  104.171731601 -7452.882583969
   -0.000599807   76.369458049 -8249.897347536
    0.002896614   48.132340598 -7657.553266877
    0.006393036   24.371020078 -5758.582332672
    0.009889457    8.581839778 -3250.737503240
    0.013385879    1.252445344 -1066.515762283
    0.016882300    0.000000000  169.473667438
    0.020378721    1.279295236  427.765584602
    0.023875143    2.372872615  155.656154712
    0.027371564    2.381852622 -118.039739618
    0.030867986    1.866170817 -130.842540587
    0.034364407    1.721239465   66.865087435
    0.037860829    2.326519568  262.879349769
    0.041357250    3.377956426  305.679990477
    0.044853671    4.299668978  215.753879433
    0.048350093    4.871157541  118.601021348
    0.051846514    5.183115654   69.694632159
    0.055342936    5.445437376   88.363966917
    0.058839357    5.868156871  155.140855563
    0.062335779    6.526048436  216.132106790
    0.065832200    7.346338161  239.815495469
    0.069328621    8.132393625  195.463274454
    0.072825043    8.585354255   54.297705793
    0.076321464    8.430423692 -148.836073754
    0.079817886    7.540094389 -349.972580194
    0.083314307    6.163500780 -404.625739604
    0.086810729    5.053758432 -176.388726284
    0.090307150    5.320141515  385.524766446
    0.093803571    8.080958282 1227.442921877
    0.097299993   14.042408551 2184.047899636
    0.100796414   23.237623091 3042.242499455
    0.104292836   35.022444026 3649.559771557
    0.107789257   48.406704057 3959.729689110
    0.111285679   62.459197923 4052.655963365
    0.114782100   76.633014742 4046.790203850
    0.118278521   90.736783856 4019.838121618
    0.121774943  104.694993944 3950.682601894
    0.125271364  118.224106491 3760.309351544
    0.128767786  130.766214538 3379.325959437
    0.132264207  141.607839087 2796.050174985
    0.135760629  150.184839105 2102.360188622
    0.139257050  156.328411350 1424.089039065
    0.142753471  160.282148944  862.820632480
    0.146249893  162.559802812  466.383188238
    0.149746314  163.723375565  221.104415487
    0.153242736  164.245817299   91.764162804
    0.156739157  164.449433029   32.393629916
    0.160235579  164.509245940    7.259310187
    0.163732000  164.520691252    0.611475175
